Tischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN DNR Hydstra #,H02039008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCA Station ID,S004-364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Lab,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flow,Temp,DO,DO,EC25,TDS,chloride,Turbidity,Transparency,TSS,TVS,T-Solids-calc,pH,ANC,ortho-P,TP,TN,NO3/NO2-N,NH4-N,DIN,fecal coliform,BOD,NOTES,,,,,,,,,,
Stream,Date,Time,condition,Qualitative Flow ,(cfs),(oC),(mg/L),% sat,uS/cm ,(mg/L),(mg/L), NTU,tube (cm),(mg/L),(mg/L),(mg/L),lab,mg CaCO3/L,(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(cfu/100ml),(mg/L),,METADATA NOTES:,,,,,,,,,
Tischer Creek,3/28/02,9:45,"~1"" snow (0.15"" precip)",S,N/A,0.5,13.20,95.15,1721,957,470,257.0,7.9,109,25,1066,8.00,97,20,250,1988,837,436,1273,70,8,,DO = dissolved oxygen,,,,,,,,,
Tischer Creek,4/11/02,,"1.44"" rain 4/10-4/11",R,N/A,N/A,N/A,N/A,174,N/A,N/A,28.2,N/A,36,N/A,N/A,N/A,N/A,N/A,166,N/A,N/A,N/A,N/A,N/A,N/A,,EC25 = specific electrical conductivity normalized to 25oC (in Lab),,,,,,,,,
Tischer Creek,4/16/02,11:45,low flow,S,37,5.0,12.40,100.80,186,N/A,N/A,6.8,>124,6,N/A,N/A,N/A,N/A,N/A,60,1166,467,117,584,N/A,N/A,,TDS = total dissolved solids ,,,,,,,,,
Tischer Creek,4/29/02,,"0.65"" rain 4/27-4/29",S,15,N/A,N/A,N/A,377,226,69,7.0,N/A,3,74,229,7.82,63,10,20,703,244,17,261,41,3,,Turbidity (in Lab) ,,,,,,,,,
Tischer Creek,5/9/02,,"1.03"" rain 5/7-5/9",R,65,N/A,N/A,N/A,217,N/A,N/A,8.2,N/A,11,N/A,N/A,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A,,"T-Tube = transparency tube.  A 130 cm tube was used for Chester, Kingsbury and ",,,,,,,,,
Tischer Creek,5/13/02,12:10,"0.53"" rain previous 2 days",R,18,2.0,N/A,N/A,240,169,34,5.7,N/A,2,68,171,7.70,53,10,20,603,134,11,145,37,3,,,Tischer and has been recommended for St. Louis River Watch stream ,,,,,,,,
Tischer Creek,5/23/02,10:25,low flow,R,4,14.3,10.80,109.70,N/A,N/A,N/A,1.1,N/A,1,N/A,N/A,N/A,N/A,N/A,17,551,159,13,172,N/A,N/A,,,monitoring programs.  Amity Creek values were from a 100 cm tube with,,,,,,,,
Tischer Creek,5/30/02,10:35,low flow,B,2,14.0,N/A,N/A,N/A,396,148,3.0,>124,2,108,398,7.81,100,10,20,577,85,51,136,36,3,,,a similar internal diameter and viewing protocol as used by MPCA.,,,,,,,,
