Site,DateTime,StageHt,Flow,Temp,EC25,Turb,Precip
,MM/dd/yyyy HH:mm:ss,m,m3/sec,° C,uS/cm,NTU,inches
Tischer2007,01/01/2007 00:00:00,0.275,0.21,0.32,1613,7.8,
Tischer2007,01/01/2007 00:15:00,0.276,0.21,0.33,1551,8.7,
Tischer2007,01/01/2007 00:30:00,0.276,0.21,0.32,1505,7.9,
Tischer2007,01/01/2007 00:45:00,0.277,0.22,0.31,1470,8.2,
Tischer2007,01/01/2007 01:00:00,0.277,0.22,0.30,1461,7.4,
Tischer2007,01/01/2007 01:15:00,0.277,0.22,0.29,1462,7.4,
Tischer2007,01/01/2007 01:30:00,0.277,0.22,0.27,1475,7.2,
Tischer2007,01/01/2007 01:45:00,0.275,0.21,0.26,1483,6.6,
Tischer2007,01/01/2007 02:00:00,0.275,0.21,0.24,1470,6.6,
Tischer2007,01/01/2007 02:15:00,0.273,0.21,0.23,1436,6.5,
Tischer2007,01/01/2007 02:30:00,0.272,0.21,0.23,1404,6.1,
Tischer2007,01/01/2007 02:45:00,0.270,0.20,0.23,1367,5.7,
Tischer2007,01/01/2007 03:00:00,0.270,0.20,0.21,1328,5.7,
Tischer2007,01/01/2007 03:15:00,0.270,0.20,0.20,1298,5.4,
Tischer2007,01/01/2007 03:30:00,0.270,0.20,0.18,1278,5.7,
Tischer2007,01/01/2007 03:45:00,0.269,0.20,0.15,1253,5.2,
Tischer2007,01/01/2007 04:00:00,0.269,0.20,0.13,1217,4.8,
Tischer2007,01/01/2007 04:15:00,0.268,0.20,0.10,1175,5.1,
Tischer2007,01/01/2007 04:30:00,0.268,0.20,0.08,1130,4.9,
Tischer2007,01/01/2007 04:45:00,0.267,0.20,0.05,1089,4.5,
Tischer2007,01/01/2007 05:00:00,0.268,0.20,0.03,1048,4.2,
Tischer2007,01/01/2007 05:15:00,0.268,0.20,0.00,1006,5.1,
Tischer2007,01/01/2007 05:30:00,0.267,0.20,0.01,968,3.9,
Tischer2007,01/01/2007 05:45:00,0.265,0.20,0.02,928,4.2,
Tischer2007,01/01/2007 06:00:00,0.267,0.20,0.03,890,3.8,
Tischer2007,01/01/2007 06:15:00,0.267,0.20,0.03,859,3.6,
Tischer2007,01/01/2007 06:30:00,0.267,0.20,0.03,834,3.9,
Tischer2007,01/01/2007 06:45:00,0.266,0.20,0.03,812,3.3,
Tischer2007,01/01/2007 07:00:00,0.263,0.19,0.04,793,3.7,
Tischer2007,01/01/2007 07:15:00,0.264,0.19,0.04,777,4.3,
Tischer2007,01/01/2007 07:30:00,0.265,0.20,0.04,765,2.9,
Tischer2007,01/01/2007 07:45:00,0.266,0.20,0.04,752,3.1,
Tischer2007,01/01/2007 08:00:00,0.266,0.20,0.04,742,2.9,
Tischer2007,01/01/2007 08:15:00,0.266,0.20,0.04,732,3.1,
Tischer2007,01/01/2007 08:30:00,0.267,0.20,0.04,721,3.0,
Tischer2007,01/01/2007 08:45:00,0.267,0.20,0.04,710,2.6,
Tischer2007,01/01/2007 09:00:00,0.268,0.20,0.04,701,2.6,
Tischer2007,01/01/2007 09:15:00,0.269,0.20,0.04,692,2.9,
Tischer2007,01/01/2007 09:30:00,0.270,0.20,0.04,682,2.7,
Tischer2007,01/01/2007 09:45:00,0.272,0.21,0.05,673,2.8,
Tischer2007,01/01/2007 10:00:00,0.274,0.21,0.05,664,2.8,
Tischer2007,01/01/2007 10:15:00,0.276,0.21,0.05,654,2.8,
Tischer2007,01/01/2007 10:30:00,0.279,0.22,0.05,645,2.9,
Tischer2007,01/01/2007 10:45:00,0.280,0.22,0.05,638,3.2,
Tischer2007,01/01/2007 11:00:00,0.282,0.23,0.05,630,3.2,
Tischer2007,01/01/2007 11:15:00,0.283,0.23,0.05,622,3.2,
Tischer2007,01/01/2007 11:30:00,0.287,0.24,0.05,615,3.2,
Tischer2007,01/01/2007 11:45:00,0.289,0.24,0.05,609,2.6,
Tischer2007,01/01/2007 12:00:00,0.289,0.24,0.05,605,3.1,
Tischer2007,01/01/2007 12:15:00,0.287,0.24,0.05,598,3.2,
Tischer2007,01/01/2007 12:30:00,0.290,0.24,0.05,591,3.7,
Tischer2007,01/01/2007 12:45:00,0.290,0.24,0.05,596,3.9,
Tischer2007,01/01/2007 13:00:00,0.292,0.25,0.05,591,3.7,
Tischer2007,01/01/2007 13:15:00,0.292,0.25,0.05,588,3.6,
Tischer2007,01/01/2007 13:30:00,0.291,0.24,0.05,579,4.3,
Tischer2007,01/01/2007 13:45:00,0.292,0.25,0.05,575,4.5,
Tischer2007,01/01/2007 14:00:00,0.289,0.24,0.05,573,4.5,
Tischer2007,01/01/2007 14:15:00,0.289,0.24,0.05,579,4.0,
Tischer2007,01/01/2007 14:30:00,0.286,0.23,0.05,580,4.8,
Tischer2007,01/01/2007 14:45:00,0.287,0.24,0.05,576,4.7,
Tischer2007,01/01/2007 15:00:00,0.283,0.23,0.05,574,4.2,
Tischer2007,01/01/2007 15:15:00,0.284,0.23,0.05,573,3.9,
Tischer2007,01/01/2007 15:30:00,0.283,0.23,0.05,572,4.3,
Tischer2007,01/01/2007 15:45:00,0.281,0.22,0.05,569,4.4,
Tischer2007,01/01/2007 16:00:00,0.284,0.23,0.05,570,4.2,
Tischer2007,01/01/2007 16:15:00,0.285,0.23,0.05,572,4.0,
Tischer2007,01/01/2007 16:30:00,0.280,0.22,0.05,576,4.8,
Tischer2007,01/01/2007 16:45:00,0.277,0.22,0.05,580,4.2,
Tischer2007,01/01/2007 17:00:00,0.275,0.21,0.05,584,4.2,
Tischer2007,01/01/2007 17:15:00,0.274,0.21,0.05,590,4.6,
Tischer2007,01/01/2007 17:30:00,0.274,0.21,0.05,596,4.4,
Tischer2007,01/01/2007 17:45:00,0.274,0.21,0.05,597,4.9,
Tischer2007,01/01/2007 18:00:00,0.273,0.21,0.05,597,3.8,
Tischer2007,01/01/2007 18:15:00,0.273,0.21,0.05,597,4.2,
Tischer2007,01/01/2007 18:30:00,0.272,0.21,0.05,598,4.2,
Tischer2007,01/01/2007 18:45:00,0.272,0.21,0.05,600,4.3,
Tischer2007,01/01/2007 19:00:00,0.271,0.21,0.05,604,4.2,
Tischer2007,01/01/2007 19:15:00,0.271,0.21,0.05,610,4.0,
Tischer2007,01/01/2007 19:30:00,0.270,0.20,0.05,617,4.7,
Tischer2007,01/01/2007 19:45:00,0.269,0.20,0.05,621,4.6,
Tischer2007,01/01/2007 20:00:00,0.269,0.20,0.05,621,4.4,
Tischer2007,01/01/2007 20:15:00,0.269,0.20,0.05,619,4.2,
Tischer2007,01/01/2007 20:30:00,0.268,0.20,0.05,613,3.4,
Tischer2007,01/01/2007 20:45:00,0.267,0.20,0.05,607,4.1,
Tischer2007,01/01/2007 21:00:00,0.266,0.20,0.05,599,3.5,
Tischer2007,01/01/2007 21:15:00,0.266,0.20,0.05,590,3.4,
Tischer2007,01/01/2007 21:30:00,0.265,0.20,0.05,582,3.7,
Tischer2007,01/01/2007 21:45:00,0.265,0.20,0.05,574,3.8,
Tischer2007,01/01/2007 22:00:00,0.266,0.20,0.05,567,4.2,
Tischer2007,01/01/2007 22:15:00,0.266,0.20,0.05,561,3.3,
Tischer2007,01/01/2007 22:30:00,0.267,0.20,0.05,556,3.7,
Tischer2007,01/01/2007 22:45:00,0.267,0.20,0.05,553,3.5,
Tischer2007,01/01/2007 23:00:00,0.267,0.20,0.05,551,3.3,
Tischer2007,01/01/2007 23:15:00,0.266,0.20,0.05,551,3.4,
Tischer2007,01/01/2007 23:30:00,0.267,0.20,0.05,553,3.2,
Tischer2007,01/01/2007 23:45:00,0.267,0.20,0.05,556,3.4,
Tischer2007,01/02/2007 00:00:00,0.266,0.20,0.05,560,3.4,
Tischer2007,01/02/2007 00:15:00,0.266,0.20,0.05,564,3.3,
Tischer2007,01/02/2007 00:30:00,0.265,0.20,0.05,566,3.2,
Tischer2007,01/02/2007 00:45:00,0.262,0.19,0.05,567,3.2,
Tischer2007,01/02/2007 01:00:00,0.263,0.19,0.05,569,2.9,
Tischer2007,01/02/2007 01:15:00,0.264,0.19,0.05,569,2.4,
Tischer2007,01/02/2007 01:30:00,0.265,0.20,0.05,568,2.7,
Tischer2007,01/02/2007 01:45:00,0.266,0.20,0.05,569,2.7,
