Site,DateTime,StageHt,Flow,Temp,EC25,Turb,Precip
,MM/dd/yyyy HH:mm:ss,m,m3/sec,deg C,uS/cm,NTU,inches
Tischer2018-19,01/08/2018 11:30:00,,,-0.15,96,-5.1,
Tischer2018-19,01/08/2018 11:45:00,,,-0.15,96,-5.1,
Tischer2018-19,01/08/2018 12:00:00,,,-0.15,96,-5.1,
Tischer2018-19,01/08/2018 12:15:00,,,-0.15,97,-5.1,
Tischer2018-19,01/08/2018 12:30:00,,,-0.15,97,-5.1,
Tischer2018-19,01/08/2018 12:45:00,,,-0.15,97,-5.1,
Tischer2018-19,01/08/2018 13:00:00,,,-0.15,98,-5.1,
Tischer2018-19,01/08/2018 13:15:00,,,-0.15,98,-5.1,
Tischer2018-19,01/08/2018 13:30:00,,,-0.15,98,-5.1,
Tischer2018-19,01/08/2018 13:45:00,,,-0.15,99,-5.1,
Tischer2018-19,01/08/2018 14:00:00,,,-0.14,99,-5.2,
Tischer2018-19,01/08/2018 14:15:00,,,-0.14,99,-5.2,
Tischer2018-19,01/08/2018 14:30:00,,,-0.14,100,-5.1,
Tischer2018-19,01/08/2018 14:45:00,,,-0.14,100,-5.2,
Tischer2018-19,01/08/2018 15:00:00,,,-0.14,101,-5.1,
Tischer2018-19,01/08/2018 15:15:00,,,-0.14,101,-5.1,
Tischer2018-19,01/08/2018 15:30:00,,,-0.14,101,-5.1,
Tischer2018-19,01/08/2018 15:45:00,,,-0.14,102,-5.1,
Tischer2018-19,01/08/2018 16:00:00,,,-0.14,102,-5.1,
Tischer2018-19,01/08/2018 16:15:00,,,-0.14,102,-5.1,
Tischer2018-19,01/08/2018 16:30:00,,,-0.14,103,-5.1,
Tischer2018-19,01/08/2018 16:45:00,,,-0.14,103,-5.1,
Tischer2018-19,01/08/2018 17:00:00,,,-0.14,103,-5.1,
Tischer2018-19,01/08/2018 17:15:00,,,-0.14,104,-5.1,
Tischer2018-19,01/08/2018 17:30:00,,,-0.14,104,-5.1,
Tischer2018-19,01/08/2018 17:45:00,,,-0.14,104,-5.1,
Tischer2018-19,01/08/2018 18:00:00,,,-0.14,105,-5.1,
Tischer2018-19,01/08/2018 18:15:00,,,-0.14,105,-5.1,
Tischer2018-19,01/08/2018 18:30:00,,,-0.14,105,-5.1,
Tischer2018-19,01/08/2018 18:45:00,,,-0.13,105,-5.1,
Tischer2018-19,01/08/2018 19:00:00,,,-0.13,106,-5.1,
Tischer2018-19,01/08/2018 19:15:00,,,-0.14,105,-5.1,
Tischer2018-19,01/08/2018 19:30:00,,,-0.13,106,-5.2,
Tischer2018-19,01/08/2018 19:45:00,,,-0.13,106,-5.1,
Tischer2018-19,01/08/2018 20:00:00,,,-0.13,106,-5.1,
Tischer2018-19,01/08/2018 20:15:00,,,-0.13,106,-5.1,
Tischer2018-19,01/08/2018 20:30:00,,,-0.13,107,-5.1,
Tischer2018-19,01/08/2018 20:45:00,,,-0.13,107,-5.1,
Tischer2018-19,01/08/2018 21:00:00,,,-0.13,107,-5.1,
Tischer2018-19,01/08/2018 21:15:00,,,-0.13,107,-5.1,
